Date,Volume,High,Last,Low,OpenInterest,Open,Change,Settle
2017-03-30T00:00:00.000Z,577117,50.47,50.33,49.27,0,49.6,0.84,50.35
2017-03-29T00:00:00.000Z,540748,49.63,49.6,48.38,0,48.47,1.14,49.51
2017-03-28T00:00:00.000Z,497769,48.74,48.45,47.8,0,47.89,0.64,48.37
2017-03-27T00:00:00.000Z,464236,48.28,47.85,47.08,0,48.12,0.24,47.73
2017-03-24T00:00:00.000Z,417117,48.2,48.14,47.54,0,47.67,0.27,47.97
2017-03-23T00:00:00.000Z,497768,48.48,47.67,47.58,0,48.15,0.34,47.7
2017-03-22T00:00:00.000Z,676510,48.32,48.16,47.01,0,48.16,0.2,48.04
2017-03-21T00:00:00.000Z,25169,48.73,47.5,47.23,0,47.93,0.88,47.34
2017-03-20T00:00:00.000Z,136614,48.74,48.17,47.84,0,48.7,0.56,48.22
2017-03-17T00:00:00.000Z,161692,49.2,48.72,48.6,0,48.79,0.03,48.78
2017-03-16T00:00:00.000Z,496786,49.62,48.77,48.45,0,49.01,0.11,48.75
2017-03-15T00:00:00.000Z,631603,49.04,48.96,48.16,0,48.76,1.14,48.86
2017-03-14T00:00:00.000Z,841285,48.79,48.5,47.09,0,48.45,0.68,47.72
2017-03-13T00:00:00.000Z,593324,48.68,48.47,47.9,0,48.45,0.09,48.4
2017-03-10T00:00:00.000Z,774921,50.11,48.39,48.31,0,49.61,0.79,48.49
2017-03-09T00:00:00.000Z,1.048093e+06,50.84,49.62,48.59,0,50.22,1,49.28
2017-03-08T00:00:00.000Z,942249,52.92,50.2,50.05,0,52.79,2.86,50.28
2017-03-07T00:00:00.000Z,477748,53.8,52.79,52.71,0,53.17,0.06,53.14
2017-03-06T00:00:00.000Z,501803,53.56,53.18,52.76,0,53.19,0.13,53.2
2017-03-03T00:00:00.000Z,433670,53.39,53.2,52.55,0,52.58,0.72,53.33
2017-03-02T00:00:00.000Z,636438,53.8,52.56,52.54,0,53.69,1.22,52.61
2017-03-01T00:00:00.000Z,489208,54.44,53.67,53.63,0,53.95,0.18,53.83
2017-02-28T00:00:00.000Z,590994,54.23,54,53.18,0,54.04,0.04,54.01
2017-02-27T00:00:00.000Z,391372,54.61,54.04,53.94,0,54.02,0.06,54.05
2017-02-24T00:00:00.000Z,392635,54.51,54.01,53.76,0,54.33,0.46,53.99
2017-02-23T00:00:00.000Z,528680,54.94,54.36,53.87,0,53.91,0.86,54.45
2017-02-22T00:00:00.000Z,498844,54.6,53.87,53.35,0,54.26,0.74,53.59
2017-02-21T00:00:00.000Z,37899,54.68,54.02,53.35,0,53.48,0.66,54.06
2017-02-17T00:00:00.000Z,185798,53.52,53.37,52.88,0,53.47,0.04,53.4
2017-02-16T00:00:00.000Z,336879,53.59,53.46,52.68,0,53.01,0.25,53.36
2017-02-15T00:00:00.000Z,445459,53.51,52.98,52.73,0,53,0.09,53.11
2017-02-14T00:00:00.000Z,471991,53.72,53.03,52.86,0,52.91,0.27,53.2
2017-02-13T00:00:00.000Z,565314,53.95,52.87,52.77,0,53.8,0.93,52.93
2017-02-10T00:00:00.000Z,573469,54.13,53.85,52.9,0,53.15,0.86,53.86
2017-02-09T00:00:00.000Z,590675,53.21,53.14,52.37,0,52.37,0.66,53
2017-02-08T00:00:00.000Z,745234,52.67,52.38,51.22,0,51.64,0.17,52.34
2017-02-07T00:00:00.000Z,602061,53.24,51.7,51.63,0,53.14,0.84,52.17
2017-02-06T00:00:00.000Z,421444,54.13,53.1,52.91,0,53.81,0.82,53.01
2017-02-03T00:00:00.000Z,456398,54.22,53.85,53.4,0,53.68,0.29,53.83
2017-02-02T00:00:00.000Z,488305,54.34,53.64,53.35,0,53.57,0.34,53.54
2017-02-01T00:00:00.000Z,575041,53.91,53.55,52.64,0,52.76,1.07,53.88
2017-01-31T00:00:00.000Z,584925,53.56,52.8,52.24,0,52.6,0.18,52.81
2017-01-30T00:00:00.000Z,481989,53.46,52.57,52.41,0,53.15,0.54,52.63
2017-01-27T00:00:00.000Z,490239,54.08,53.2,52.58,0,53.74,0.61,53.17
2017-01-26T00:00:00.000Z,570958,54.06,53.71,52.79,0,52.96,1.03,53.78
2017-01-25T00:00:00.000Z,586232,53.47,52.94,52.56,0,52.95,0.43,52.75
2017-01-24T00:00:00.000Z,516089,53.56,52.94,52.67,0,52.86,0.43,53.18
2017-01-23T00:00:00.000Z,451338,53.47,52.83,52.21,0,53.33,0.47,52.75
2017-01-20T00:00:00.000Z,22789,52.9,52.33,51.39,0,51.45,1.05,52.42
2017-01-19T00:00:00.000Z,111873,51.87,51.41,51.02,0,51.39,0.29,51.37
2017-01-18T00:00:00.000Z,233692,52.79,51.39,50.91,0,52.52,1.4,51.08
2017-01-17T00:00:00.000Z,587501,53.52,52.53,52.12,0,52.55,0.11,52.48
2017-01-13T00:00:00.000Z,466766,53.17,52.52,52.27,0,53.05,0.64,52.37
2017-01-12T00:00:00.000Z,652855,53.5,53.03,52.12,0,52.37,0.76,53.01
2017-01-11T00:00:00.000Z,786794,52.78,52.37,50.75,0,50.81,1.43,52.25
2017-01-10T00:00:00.000Z,612964,52.37,50.78,50.71,0,51.83,1.14,50.82
2017-01-09T00:00:00.000Z,538078,53.83,51.79,51.76,0,53.75,2.03,51.96
2017-01-06T00:00:00.000Z,512694,54.32,53.7,53.32,0,53.73,0.23,53.99
2017-01-05T00:00:00.000Z,515613,54.12,53.76,52.79,0,53.39,0.5,53.76
2017-01-04T00:00:00.000Z,510362,53.43,53.35,52.15,0,52.49,0.93,53.26
2017-01-03T00:00:00.000Z,721921,55.24,52.47,52.11,0,54.2,1.39,52.33
2016-12-30T00:00:00.000Z,266762,54.09,53.89,53.41,0,53.87,0.05,53.72
2016-12-29T00:00:00.000Z,356339,54.21,53.85,53.46,0,53.66,0.29,53.77
2016-12-28T00:00:00.000Z,320087,54.37,53.66,53.56,0,53.93,0.16,54.06
2016-12-27T00:00:00.000Z,273372,54.1,53.89,53.03,0,53.29,0.88,53.9
2016-12-23T00:00:00.000Z,278830,53.28,53.25,52.26,0,52.68,0.07,53.02
2016-12-22T00:00:00.000Z,390212,53.19,52.65,52.08,0,52.52,0.46,52.95
2016-12-21T00:00:00.000Z,466692,53.79,52.51,52.32,0,53.56,0.81,52.49
2016-12-20T00:00:00.000Z,17494,52.7,52.22,51.84,0,52.11,0.11,52.23
2016-12-19T00:00:00.000Z,118085,52.52,52.12,51.51,0,52.15,0.22,52.12
2016-12-16T00:00:00.000Z,247448,52.08,52.03,50.5,0,51.1,1,51.9
2016-12-15T00:00:00.000Z,530794,51.48,51.07,49.95,0,50.79,0.14,50.9
2016-12-14T00:00:00.000Z,632914,52.78,50.77,50.67,0,52.45,1.94,51.04
2016-12-13T00:00:00.000Z,629763,53.41,52.46,52.35,0,52.51,0.15,52.98
2016-12-12T00:00:00.000Z,833728,54.51,52.44,52.18,0,52.58,1.33,52.83
2016-12-09T00:00:00.000Z,618221,51.66,51.48,50.86,0,50.92,0.66,51.5
2016-12-08T00:00:00.000Z,746140,50.98,50.96,49.61,0,49.88,1.07,50.84
2016-12-07T00:00:00.000Z,789535,51.2,49.84,49.72,0,50.93,1.16,49.77
2016-12-06T00:00:00.000Z,614408,51.6,50.91,50.28,0,50.97,0.86,50.93
2016-12-05T00:00:00.000Z,593736,52.42,50.95,50.93,0,51.46,0.11,51.79
2016-12-02T00:00:00.000Z,653861,51.73,51.68,50.18,0,51.01,0.62,51.68
2016-12-01T00:00:00.000Z,945471,51.8,50.9,48.98,0,49.07,1.62,51.06
2016-11-30T00:00:00.000Z,1.282869e+06,49.9,48.98,45.22,0,45.24,4.21,49.44
2016-11-29T00:00:00.000Z,727878,46.98,45.23,44.82,0,46.88,1.85,45.23
